Nr.|Symbol|Status|Projekt|GeoJson|Hintergrund|Maßnahme|Stand/Projektphase|Zuständigkeit|Bemerkungen
1||unknown|'Skalitzer Straße
von Kottbusser Tor bis
Schlesisches Tor'|{"type":"FeatureCollection","features":[{"type":"Feature","properties":{},"geometry":{"coordinates":[[[13.418870813878527,52.49925729305019],[13.41876724962836,52.4988318089913],[13.419543860803373,52.49891690993718],[13.426326253101195,52.49902090659418],[13.43014718007862,52.49921947435769],[13.43115677460591,52.499124918391544],[13.440942075402518,52.50054323652927],[13.440786753168027,52.50087417084427],[13.436562016568416,52.50025011755818],[13.434682617526477,52.49996645569982],[13.431312125029393,52.499455859742596],[13.43020933716241,52.49955987051101],[13.429324000286044,52.499503137398534],[13.42415176986492,52.499266748627605],[13.418870813878527,52.49925729305019]]],"type":"Polygon"}}]}|Zwischen Schlesisches Tor und Kottbusser Tor sind die Radwege in einem schlechten Zustand und in ihrer Breite unzureichend.|Einrichtung eines Radfahrstreifens bzw. Ausbau und Sanierung des vorh. Radwegs in einer Breite von mindestens 2 m|Idee / Vision|SenUMVK/SGA|
2|Fahrrad in Bau|in_progress|'Gitschiner Straße
von Lindenstraße bis
Kottbusser Tor'||'Im Abschnitt zwischen Kottbusser Tor und Lindenstraße gibt es
bisher noch keine Radverkehrsanlagen. Die Gitschiner Straße ist eine wichtige Verbindung für ein durchgängiges Radverkehrsnetz. Es besteht die Idee auf der Fahrbahn einen Radfahrstreifen entstehen zu lassen. Die Parkstreifen an den Seiten müsste dafür aufgehoben werden.'|Einrichtung einer geschützten Radverkehrsanlage in einer netto Breite von mindestens 2 m|Bauausführung|SenUMVK/SGA|'BA 1 (Böcklerstraße bis Kottbusser Tor) fertiggestellt
BA 2 (Prinzenstraße bis Böcklerstraße) Fertigstellung 2023
BA 3 (Alexandrinenstraße bis Prinzenstraße) Fertigstellung 2023 (Bauverzögerung wg. Baumaßnahme der BWB)
BA 4 (Zossener Brücke bis Alexandrinenstraße) Fertigstellung
2022 (Bauverzögerung wg. Baumaßnahme der BWB)'
3|Fahrrad fertig|done|Kottbusser Damm||Bisher gab es keine Radverkehrsanlagen auf dem Kottbusser Damm. Der Radverkehr wurde im Mischverkehr geführt.|Errichten von geschützten Radstreifen durch Aufhebung der Parkstreifen am Fahrbahnrand|fertiggestellt|SenUMVK/SGA|Beschluss der BVV vom 10.05.2017. Fertigstellung Sommer 2021
4||unknown|Yorckstraße u. Gneisenaustraße zwischen Katzbachstraße und Südstern||Der vorhandene Radweg in den Seitenbereichen genügt den heutigen und zukünftigen Anforderungen nicht mehr|Schaffung einer Radbahn auf dem Mittelstreifen|Idee / Vision|SenUMVK/SGA|Die Machbarkeitsstudie ergab ein hohes Konfliktpotenzial zwischen Radverkehr und Fußverkehr an den Kreuzungspunkten. Parallel werden weitere Alternativen geprüft wie ein geschützter Radstreifen jeweils am rechten Fahrbahnrand.
5|Fahrrad fertig|done|Hasenheide||'Auf der südlichen Seite der Hasenheide ist bisher keine
Radverkehrsanlage vorhanden.'|'Einrichten eines geschützten Radstreifens auf der
Südseite'|fertiggestellt|SenUMVK/SGA|Maßnahme wurde größtenteils 2019 abgeschlossen. Im Bereich der Neubaumaßnahme eines Wohnhauses soll der Lückenschluss im Sommer 2022 erfolgen.
6|Fahrrad fertig|done|Oranienstraße zwischen Moritzplatz und Görlitzer Bahnhof||'Starke Behinderung des Radverkehrs durch Parken in der zweiten
Reihe, starken Lieferverkehr und zugeparkte Lieferbereiche'|Komplettumbau mit Förderung des Umweltverbundes (Bus, Rad, Fußverkehr), Aufenthaltsqualitätssteigerung bei Berücksichtigung des ansässigen Gewerbes|in Planung|SenUMVK/SGA|'Die Oranienstraße liegt im Untersuchungsgebiet
Verkehrskonzept Luisenstadt Kreuzberg.
Nach dem Bürgerbeteiligungsverfahren erfolgt die Planung. Geplanter Baubeginn: 2023, geplante Fertigstellung: 2025'
7|Fahrrad in Bau|in_progress|'Oranienstraße zwischen
Moritzplatz und Lindenstraße'||Die Radwege befinden sich in einem desolaten Zustand und sind zu schmal|'Schaffung von Radstreifen bzw. Sanierung und
Verbreiterung der Radwege'|Bauausführung|SenUMVK/SGA|'* 1. BA Nordseite zwischen Alte Jakobstraße und Axel-Springer- Straße wurde Ende 2019 fertiggestellt
* 2. BA Nordseite Alexandrinenstraße bis Alte Jakobstraße wurde Ende 2020 fertiggestellt
* 3. BA Nordseite Stallschreiberstraße bis Alexandrinenstraße befindet sich derzeit im Umbau, Fertigstellung für Frühjahr
2022 avisiert'
